sname,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code,Codechar,Codenum,ref_lat,ref_long,distance,d2x,d2y
S0101,Côm trâu,Elaeocarpus sylvestris ,49.0,15.6,0.019104074,14.49985,108.576074,A19,A,19,14.4991,108.5754,110.29461113671489,72.65477142579869,82.98304305618166
S0102,Bứa lá nhỏ,Garcinia Sp,30.5,9.71,0.007401735,14.499806,108.576392,A2,A,2,14.4991,108.5754,132.4266508665359,106.93404670266713,78.11483543808563
S0104,Bứa lá nhỏ,Garcinia Sp,31.3,9.96,0.007795115,14.499376,108.575746,A2,A,2,14.4991,108.5754,48.20443394560526,37.297632577898504,30.537748052210805
S0105,Bứa lá nhỏ,Garcinia Sp,57.6,18.33,0.026398472,14.49934,108.575726,A2,A,2,14.4991,108.5754,44.046388623671795,35.14170573310356,26.554563994829223
S0106,Bứa lá nhỏ,Garcinia Sp,40.5,12.89,0.013051003,14.499408,108.575994,A2,A,2,14.4991,108.5754,72.53503130233325,64.03118662281653,34.07840820379535
S0107,Bứa lá nhỏ,Garcinia Sp,40.0,12.73,0.012730745,14.499276,108.575989,A2,A,2,14.4991,108.5754,66.41143270217333,63.49224116087921,19.473410228412806
S0108,Bứa lá nhỏ,Garcinia Sp,48.0,15.28,0.018332272,14.499951,108.575904,A2,A,2,14.4991,108.5754,108.70793080213623,54.32935936107991,94.15803168448605
S0109,Bứa lá nhỏ,Garcinia Sp,50.5,16.07,0.020291614,14.4997553,108.5758645,A2,A,2,14.4991,108.5754,88.1142782225997,50.071447568694516,72.50500786197587
S0110,Bứa lá nhỏ,Garcinia Sp,39.0,12.41,0.012102164,14.5001154,108.5758456,A2,A,2,14.4991,108.5754,122.18556683352001,48.03401722184367,112.34787907192646
S0111,Bứa lá nhỏ,Garcinia Sp,44.0,14.0,0.015404201,14.4997659,108.5758084,A2,A,2,14.4991,108.5754,85.8285484928511,44.024065048367675,73.67782185302973
S0112,Bứa lá nhỏ,Garcinia Sp,40.5,12.89,0.013051003,14.4997315,108.5756528,A2,A,2,14.4991,108.5754,74.99773971375303,27.25094358807799,69.87164686574405
S0113,Còng tía,Calophyllum saigonense,34.0,10.82,0.009197963,14.499707,108.57647,A20,A,20,14.4991,108.5754,133.47076141368416,115.34221852640175,67.16112549500926
S0114,Còng tía,Calophyllum saigonense,36.2,11.52,0.010426798,14.499357,108.576451,A20,A,20,14.4991,108.5754,116.80831211239321,113.29426352559015,28.435745651211576
S0115,Còng tía,Calophyllum saigonense,31.0,9.87,0.007646404,14.499644,108.576448,A20,A,20,14.4991,108.5754,128.0050290849279,112.97072819918147,60.19054777271849
S0117,Còng tía,Calophyllum saigonense,30.5,9.71,0.007401735,14.499727,108.57643,A20,A,20,14.4991,108.5754,130.92168754195305,111.03034993006477,69.37398405194953
S0118,Còng tía,Calophyllum saigonense,37.8,12.03,0.011368873,14.499734,108.576422,A20,A,20,14.4991,108.5754,130.60548606203983,110.16797482071627,70.1484876059613
S0119,Còng tía,Calophyllum saigonense,44.6,14.19,0.01582718,14.499765,108.576412,A20,A,20,14.4991,108.5754,131.5842486587822,109.08999512530819,73.57844425275965
S0120,Còng tía,Calophyllum saigonense,39.6,12.6,0.012477403,14.499786,108.576406,A20,A,20,14.4991,108.5754,132.36705435280703,108.44320628348669,75.9019636702248
S0121,Còng tía,Calophyllum saigonense,47.5,15.12,0.017952339,14.500001,108.576405,A20,A,20,14.4991,108.5754,147.22335203417447,108.33530538304612,99.69040571559833
S0122,Còng tía,Calophyllum saigonense,34.5,10.98,0.009470481,14.499352,108.576396,A20,A,20,14.4991,108.5754,110.92688515811503,107.36545100157782,27.882499567101817
S0123,Còng tía,Calophyllum saigonense,53.5,17.03,0.022774109,14.499379,108.576393,A20,A,20,14.4991,108.5754,111.40444243749857,107.04204812578746,30.869883832734658
S0124,Còng tía,Calophyllum saigonense,52.2,16.61,0.021680777,14.499858,108.576392,A20,A,20,14.4991,108.5754,135.89988952249817,106.93402176185374,83.86831917990607
S0127,Còng tía,Calophyllum saigonense,33.8,10.76,0.00909007,14.499356,108.576384,A20,A,20,14.4991,108.5754,109.78868475451347,106.0718894468972,28.325069625530585
S0128,Còng tía,Calophyllum saigonense,64.4,20.5,0.032999363,14.49979,108.57638,A20,A,20,14.4991,108.5754,130.3395622721071,105.64049726750238,76.34452718014111
S0129,Còng tía,Calophyllum saigonense,50.4,16.04,0.02021133,14.500153,108.576372,A20,A,20,14.4991,108.5754,156.6926801580578,104.77795526589189,116.50826625357602
S0130,Còng tía,Calophyllum saigonense,32.0,10.18,0.008147677,14.499992,108.576366,A20,A,20,14.4991,108.5754,143.47104376484026,104.13125295955857,98.69459233435809
S0131,Còng tía,Calophyllum saigonense,40.2,12.79,0.01285837,14.499379,108.576356,A20,A,20,14.4991,108.5754,107.5778210947064,103.0535730202119,30.86986684863591
S0132,Còng tía,Calophyllum saigonense,38.0,12.09,0.011489497,14.500005,108.576349,A20,A,20,14.4991,108.5754,143.1489949320091,102.29870941688378,100.132955622434
S0133,Còng tía,Calophyllum saigonense,68.9,21.93,0.037772199,14.499411,108.576338,A20,A,20,14.4991,108.5754,106.80806686721996,101.11321926726187,34.41046406724493
S0134,Còng tía,Calophyllum saigonense,82.0,26.1,0.053500955,14.499345,108.576338,A20,A,20,14.4991,108.5754,104.68395756119033,101.1132491979912,27.107965753594097
S0136,Còng tía,Calophyllum saigonense,45.0,14.32,0.016112349,14.499733,108.576331,A20,A,20,14.4991,108.5754,122.38105171306385,100.35849806094144,70.0378018312084
S0137,Còng tía,Calophyllum saigonense,74.0,23.55,0.043570974,14.49983,108.576328,A20,A,20,14.4991,108.5754,128.57235025994913,100.03506517970885,80.77026052860325
S0138,Còng tía,Calophyllum saigonense,43.5,13.84,0.015056095,14.499699,108.576321,A20,A,20,14.4991,108.5754,119.36968975903268,99.28054866709716,66.2759042905328
S0139,Còng tía,Calophyllum saigonense,48.0,15.28,0.018332272,14.499588,108.576309,A20,A,20,14.4991,108.5754,111.87876401810743,97.98703981358392,53.994424404659526
S0141,Còng tía,Calophyllum saigonense,33.5,10.66,0.008929424,14.499521,108.576288,A20,A,20,14.4991,108.5754,106.45549838134059,95.7233415879922,46.58127317762121
S0142,Còng tía,Calophyllum saigonense,40.6,12.92,0.013115532,14.499641,108.576284,A20,A,20,14.4991,108.5754,112.5327955644323,95.29210407566853,59.858541398686555
S0143,Còng tía,Calophyllum saigonense,44.2,14.07,0.015544558,14.499198,108.575865,A20,A,20,14.4991,108.5754,51.28485981149558,50.12547108357835,10.843154270511187
S0144,Còng tía,Calophyllum saigonense,35.5,11.3,0.010027451,14.499377,108.575813,A20,A,20,14.4991,108.5754,54.04956638696658,44.520006316107356,30.648403942666718
S0145,Còng tía,Calophyllum saigonense,53.3,16.96,0.022604153,14.499301,108.575813,A20,A,20,14.4991,108.5754,49.76571294268065,44.52002149203093,22.23946651883531
S0146,Còng tía,Calophyllum saigonense,36.0,11.46,0.010311903,14.499278,108.575781,A20,A,20,14.4991,108.5754,45.54852250902801,41.07053253895054,19.694650535676853
S0147,Còng tía,Calophyllum saigonense,34.8,11.08,0.009635901,14.499287,108.575761,A20,A,20,14.4991,108.5754,44.07312445792303,38.914597501355075,20.690442257020575
S0148,Còng tía,Calophyllum saigonense,52.8,16.8,0.02218205,14.499278,108.575727,A20,A,20,14.4991,108.5754,40.378298798201584,35.24951217817765,19.694641531070143
S0149,Còng tía,Calophyllum saigonense,53.5,17.03,0.022774109,14.499291,108.575724,A20,A,20,14.4991,108.5754,40.82202910654008,34.9261201216417,21.133011939235256
S0150,Còng tía,Calophyllum saigonense,61.5,19.57,0.030094287,14.499856,108.576258,A20,A,20,14.4991,108.5754,124.70400073139531,92.48930594177297,83.64697295673624
S0151,Còng tía,Calophyllum saigonense,57.0,18.14,0.025851369,14.499856,108.576258,A20,A,20,14.4991,108.5754,124.70400073139531,92.48930594177297,83.64697295673624
S0152,Còng tía,Calophyllum saigonense,107.5,34.21,0.091949793,14.499455,108.576243,A20,A,20,14.4991,108.5754,98.99816276607395,90.87252347538478,39.278756450194685
S0153,Còng tía,Calophyllum saigonense,48.3,15.37,0.018562142,14.499949,108.576215,A20,A,20,14.4991,108.5754,128.61749333488146,87.85402435962716,93.93684045978081
S0154,Còng tía,Calophyllum saigonense,88.5,28.17,0.062318985,14.499363,108.5762,A20,A,20,14.4991,108.5754,91.0145801106729,86.2373057864094,29.099499710878444
S0155,Còng tía,Calophyllum saigonense,96.0,30.55,0.07332909,14.49984,108.576192,A20,A,20,14.4991,108.5754,118.29045981774998,85.3747500740237,81.87664461672028
S0156,Còng tía,Calophyllum saigonense,37.4,11.9,0.011129535,14.499707,108.576168,A20,A,20,14.4991,108.5754,106.60394055058556,82.78768582012228,67.16099476229863
S0157,Còng tía,Calophyllum saigonense,32.0,10.18,0.008147677,14.49931,108.576162,A20,A,20,14.4991,108.5754,85.36412894814559,82.14105328601451,23.235358317438394
S0158,Còng tía,Calophyllum saigonense,51.6,16.42,0.021185232,14.500142,108.576159,A20,A,20,14.4991,108.5754,141.37226372715807,81.81735799418759,115.29109628324332
S0159,Còng tía,Calophyllum saigonense,52.5,16.71,0.021930697,14.499633,108.576149,A20,A,20,14.4991,108.5754,99.98367043229861,80.73957976689827,58.97333814681999
