Point	Longitude	Latitude	radius_m	gr	Lr	distance	d2x	d2y
S0549	108.575871	14.499233	41.0	0.42515928770213723	-7.948889128058703	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	42.0	0.23057580417708495	-8.367981550743842	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	43.0	0.2252135761729659	-9.367981550743842	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	44.0	0.4842091887718777	-9.79693873243425	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	45.0	0.473448984576947	-10.124027150558845	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	46.0	0.3368411747978277	-10.573029803598686	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	47.0	0.41209292661436464	-11.246507046754758	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	48.0	0.4842091887718777	-11.495977105253075	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	49.0	0.39527280716071567	-11.969196300890829	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	50.0	0.4261040861192523	-12.449804824692222	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	51.0	0.0	-12.835864482137055	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	52.0	0.0	-52.0	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	53.0	0.0	-53.0	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	54.0	0.0	-54.0	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	55.0	0.0	-55.0	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	56.0	0.0	-56.0	52.86182275436415	50.77224338613914	14.71569252371297
S0550	108.575701	14.499274	1.0	3.8736735101750215	-1.0	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	2.0	2.9052551326312663	0.783405651418787	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	3.0	3.228061258479185	1.8210000063316878	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	4.0	2.4210459438593883	2.81792359315505	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	5.0	1.5494694040700088	2.8726600436447365	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	6.0	1.291224503391674	2.8019015106680474	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	7.0	0.553381930025003	2.6420000126633756	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	8.0	0.4842091887718779	1.6420000126633756	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	9.0	0.860816335594449	1.4145503160194401	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	10.0	0.7747347020350042	1.1336226056751482	37.72845973974391	32.4467992534957	19.25206203337263
